dance.id,hive,day,year,segment,dance.found,segment start time,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,duration,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading,flag,,,,,,,,,
523,HONEYRUN,5,2015,HONEYRUN_050515_11_39_for1min.avi,yes,11:39,1,1,4,8,664,849,775,77.978,348,440,400,32.054,0.4,2.202,1.485,0.773,49,85,63.5,12.329,7.071,51.971,30.037,19.158,0,51.971,15.019,20.373,NA,NA,NA,NA,7.071,51.971,30.037,19.158,15.486,23.6,19.367,3.546,59.982,98.13,78.949,15.829,NA,NA,NA,NA,-2,23.682,61.83,42.649,11:39,126.3,168.949,2.9487163179519,1,,,,,,,,,
524,HONEYRUN,5,2015,HONEYRUN_050515_11_44_for1min.avi,yes,11:44,1,1,4,8,890.167,946.167,917.333,21.333,377.833,457.167,408.667,27.772,1.468,2.402,2.002,0.422,20,94,63.25,26.607,29.941,44.845,38.036,6.834,0,44.845,19.018,20.818,NA,NA,NA,NA,29.941,44.845,38.036,6.834,18.667,20.394,19.115,0.853,-19.29,-7.667,-12.415,4.904,NA,NA,NA,NA,-2,-57.29,-45.667,-50.415,11:44,128,77.585,1.3541137001598,1,,,,,,,,,
525,HONEYRUN,5,2015,HONEYRUN_050515_11_44_for1min.avi,yes,11:44,2,2,4,8,1075.833,1121.833,1102,13.332,372.833,486.167,421.75,35.97,1.869,2.703,2.252,0.343,44,68,55.875,8.643,39.129,64.405,49.154,11.316,0,64.405,24.577,27.298,NA,NA,NA,NA,39.129,64.405,49.154,11.316,17.503,23.83,21.756,2.88,-81.18,-64.231,-74.816,7.615,NA,NA,NA,NA,-2,-119.18,-102.231,-112.816,11:44,128,15.184,0.265010793622819,1,,,,,,,,,
526,HONEYRUN,5,2015,HONEYRUN_050515_11_49_for1min.avi,no,11:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,90,90,90,11:49,,90,2,0,,,,,,,,,
527,HONEYRUN,5,2015,HONEYRUN_050515_11_54_for1min.avi,no,11:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,90,90,90,11:54,,90,2,0,,,,,,,,,
528,HONEYRUN,5,2015,HONEYRUN_050515_11_59_for1min.avi,no,11:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,90,90,90,11:59,,90,2,0,,,,,,,,,
529,HONEYRUN,5,2015,HONEYRUN_050515_12_04_for1min.avi,yes,12:04,1,1,4,8,990.167,1023.5,1006.833,10.931,228.833,343.5,281.75,41.583,2.469,2.803,2.686,0.148,41,79,62.875,11.789,40.552,76.852,58.256,15.902,0,76.852,29.128,32.833,NA,NA,NA,NA,40.552,76.852,58.256,15.902,14.821,31.125,21.91,7.022,-93.979,-75.107,-85.847,9.528,NA,NA,NA,NA,-2,220.621,-120.507,-131.247,12:04,135.4,4.15299999999999,0.0724835238353244,1,,,,,,,,,
530,HONEYRUN,5,2015,HONEYRUN_050515_12_09_for1min.avi,no,12:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,90,90,90,12:09,,90,2,0,,,,,,,,,
531,HONEYRUN,5,2015,HONEYRUN_050515_12_14_for1min.avi,yes,12:14,1,1,4,8,779.167,899.167,846.167,38.191,423.167,493.167,462.917,21.673,1.735,2.135,1.969,0.177,41,72,55.375,11.747,40.094,61.29,49.678,9.272,0,61.29,24.839,27.239,NA,NA,NA,NA,40.094,61.29,49.678,9.272,21.678,31.67,25.258,4.435,-154.411,-132.979,-140.321,9.618,NA,NA,NA,NA,-2,155.989,177.421,170.079,12:14,139.6,309.679,5.40491817428352,1,,,,,,,,,
532,HONEYRUN,5,2015,HONEYRUN_050515_12_14_for1min.avi,yes,12:14,2,2,4,8,657.167,767.167,713.917,35.974,369.5,485.5,416.75,41.03,0.734,1.668,1.385,0.44,86,126,111.75,14.079,40.497,50.16,45.531,4.115,0,50.16,22.766,24.486,NA,NA,NA,NA,40.497,50.16,45.531,4.115,26.57,68.331,37.676,20.461,-167.845,-135,-154.78,14.022,NA,NA,NA,NA,-2,142.555,175.4,155.62,12:14,139.6,295.22,5.15256101773766,1,,,,,,,,,
