dance.id,hive,day,year,segment,dance.found,segment start time,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,duration,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading,flag,,,,,,,,,
46,FSR,5,2015,FSR_050515_12_06_for_1min.avi,yes,12:06,2,2,4,8,579,627,605.375,18.15,284,332,307.25,17.918,1.201,1.702,1.451,0.225,77,107,92,12.615,36.069,43.909,39.1,3.361,0,43.909,19.55,21.015,NA,NA,NA,NA,36.069,43.909,39.1,3.361,22.454,30.028,27.277,3.326,30.069,47.121,41.548,7.864,NA,NA,NA,NA,-1,-16.031,1.02100000000002,-4.55199999999999,12:06,136.1,131.548,2.2959457244135,1,,,,,,,,,
47,FSR,5,2015,FSR_050515_12_06_for_1min.avi,yes,12:06,3,3,4,8,979.31,1099.687,1018.025,47.015,198.119,298.433,251.567,33.324,1.502,1.702,1.585,0.084,53,99,76.625,16.248,28.949,42.3,34.771,6.317,0,42.3,17.386,19.041,NA,NA,NA,NA,28.949,42.3,34.771,6.317,18.46,28.172,22.001,4.403,48.366,101.976,77.696,22.996,NA,NA,NA,NA,-1,2.26600000000001,55.876,31.596,12:06,136.1,167.696,2.92684734242441,1,,,,,,,,,
48,FSR,5,2015,FSR_050515_12_11_for_1min.avi,yes,12:11,1,1,4,8,764.833,836,798.125,25.401,341.5,424,387.542,33.582,1.969,2.603,2.377,0.291,58,95,80,12.107,53.483,70.051,60.948,7.937,0,70.051,30.474,32.99,NA,NA,NA,NA,53.483,70.051,60.948,7.937,20.55,29.569,25.869,3.955,87.818,101.853,95.108,5.807,NA,NA,NA,NA,-1,39.718,53.753,47.008,12:11,138.1,185.108,3.23074407178166,1,,,,,,,,,
49,FSR,5,2015,FSR_050515_12_16_for_1min.avi,yes,12:16,1,1,4,8,1171.5,1224.167,1206.25,17.232,311.833,388.5,344.583,32.688,2.236,2.769,2.402,0.248,83,105,94.125,7.1,52.818,81.393,61.49,13.351,0,81.393,30.745,34.01,NA,NA,NA,NA,52.818,81.393,61.49,13.351,22.614,29.39,25.405,2.851,70.378,85.865,79.548,7.57,NA,NA,NA,NA,-1,20.178,35.665,29.348,12:16,140.2,169.548,2.95917084017135,1,,,,,,,,,
50,FSR,5,2015,FSR_050515_12_16_for_1min.avi,yes,12:16,2,2,4,8,1240,1355,1296.25,51.658,393,558,460.125,54.559,1.468,2.236,1.81,0.317,63,118,91.375,17.784,34.132,52.154,44.133,7.488,0,52.154,22.066,24.094,NA,NA,NA,NA,34.132,52.154,44.133,7.488,19.301,30.07,24.692,4.537,86.269,103.092,94.7,6.873,NA,NA,NA,NA,-1,36.069,52.892,44.5,12:16,140.2,184.7,3.22362312843353,1,,,,,,,,,
51,FSR,5,2015,FSR_050515_12_21_for_1min.avi,no,12:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-52,-52,-52,12:21,142.4,90,2,0,,,,,,,,,
52,FSR,6,2015,FSR_050615_10_56_for_1min.avi,yes,10:56,1,1,4,8,743.5,804.167,773.75,24.349,188.833,353.5,267.083,63.816,1.602,2.436,2.077,0.348,50,115,73.875,20.836,24.037,43.98,34.76,10.637,0,43.98,17.38,19.842,NA,NA,NA,NA,24.037,43.98,34.76,10.637,11.083,20.922,16.744,4.128,-104.036,-63.825,-90.588,18.428,NA,NA,NA,NA,1,232.364,-87.425,245.812,10:56,113.6,359.412,6.27292277117786,1,,,,,,,,,
53,FSR,6,2015,FSR_050615_11_01_for_1min.avi,no,11:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-25,-25,-25,11:01,114.9,90,2,0,,,,,,,,,
54,FSR,6,2015,FSR_050615_11_06_for_1min.avi,yes,11:06,1,1,4,8,763.167,791.167,779,9.626,571.833,641.833,614.583,27.702,2.336,2.402,2.377,0.032,59,100,76.875,12.005,42.854,64.677,49.778,10.125,0,64.677,24.889,27.421,NA,NA,NA,NA,42.854,64.677,49.778,10.125,18.348,27.301,20.942,4.292,93.468,98.297,95.488,2.035,NA,NA,NA,NA,1,67.268,72.097,69.288,11:06,116.2,185.488,3.23737632293924,1,,,,,,,,,
55,FSR,6,2015,FSR_050615_11_06_for_1min.avi,yes,11:06,2,2,4,8,784.833,824.833,800,14.071,418.5,474.167,451.958,19.403,0.4,1.068,0.784,0.323,35,74,60.5,12.604,18.135,34.745,25.107,8.218,0,34.745,12.554,14.459,NA,NA,NA,NA,18.135,34.745,25.107,8.218,27.291,45.293,33.803,8.107,35.69,58.325,49.317,9.807,NA,NA,NA,NA,1,9.48999999999999,32.125,23.117,11:06,116.2,139.317,2.43154035400094,1,,,,,,,,,
