City (for azimuth),hive,camera,month,day,year,hour,minute,segment,dance found?,segment start time,Pollen forager,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading.radians,flag,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_21_for_1min.avi,yes,11:21,,2,2,4,8,450,672.5,543.5,84.764,524,683,609.938,61.363,0.834,3.937,1.985,1.373,83,117,95.125,10.148,11.8,48.541,30.243,16.198,0,48.541,15.122,19.333,NA,NA,NA,NA,11.8,48.541,30.243,16.198,9.307,27.363,17.219,8.093,20.113,126.384,84.172,49.156,NA,NA,NA,NA,-1,111.113,217.384,175.172,11:21,120.7,295.872,5.163940564,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_21_for_1min.avi,yes,11:21,,3,3,4,8,918,996,957.5,27.224,379,588,472.875,75.747,1.435,2.903,2.127,0.666,74,107,84.875,11.281,32.062,70.576,48.013,16.228,0,70.576,24.006,27.776,NA,NA,NA,NA,32.062,70.576,48.013,16.228,18.983,24.883,22.631,2.664,86.424,111.571,103.033,11.668,NA,NA,NA,NA,-1,177.424,202.571,194.033,11:21,120.7,314.733,5.493127115,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_26_for_1min.avi,yes,11:26,,1,1,4,8,907.833,986.5,944.667,26.709,646.833,689.5,665.25,15.904,0.767,1.401,1.143,0.273,77,105,90.625,8.911,30.529,41.494,33.408,5.393,0,41.494,16.704,18.203,NA,NA,NA,NA,30.529,41.494,33.408,5.393,24.077,40.195,30.249,7.006,148.392,173.797,157.152,11.607,NA,NA,NA,NA,-1,239.392,264.797,248.152,11:26,122.1,10.252,0.1789311549,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_26_for_1min.avi,yes,11:26,,2,2,4,8,995.5,1062.167,1032.75,21.442,488.833,550.167,520.917,20.191,0.801,1.301,1.084,0.229,63,106,89.375,13.958,27.138,46.667,37.439,8.103,0,46.667,18.719,20.703,NA,NA,NA,NA,27.138,46.667,37.439,8.103,27.11,45.423,35.113,7.751,138.715,152.176,145.351,5.764,NA,NA,NA,NA,-1,229.715,243.176,236.351,11:26,122.1,358.451,6.256150157,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_26_for_1min.avi,yes,11:26,,3,3,4,8,894.167,951.5,921.417,19.274,236.167,346.167,280.667,35.892,1.168,1.935,1.643,0.332,81,104,92.125,6.77,32.558,43.231,38.637,4.58,0,43.231,19.319,20.869,NA,NA,NA,NA,32.558,43.231,38.637,4.58,16.823,32.544,24.44,6.427,105.173,132.51,114.876,12.917,NA,NA,NA,NA,-1,196.173,223.51,205.876,11:26,122.1,327.976,5.724261068,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_31_for_1min.avi,yes,11:31,,1,1,4,8,1088.5,1166.667,1138.25,30.523,409.333,471.833,433.042,23.034,0.834,1.935,1.343,0.542,60,133,88,25.411,14.795,32.622,22.355,8.394,0,32.622,11.177,13.152,NA,NA,NA,NA,14.795,32.622,22.355,8.394,15.435,17.736,16.856,1.014,64.486,97.633,74.587,15.468,NA,NA,NA,NA,-1,155.486,188.633,165.587,11:31,123.7,289.287,5.049010633,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_36_for_1min.avi,yes,11:36,,1,1,4,8,635.167,789.5,704.917,60.636,621.5,732.167,659,38.049,1.702,2.569,2.052,0.376,81,121,103.5,13.202,30.148,46.69,40.807,7.654,0,46.69,20.403,22.38,NA,NA,NA,NA,30.148,46.69,40.807,7.654,14.573,27.052,20.349,5.31,82.405,108.034,97.578,10.812,NA,NA,NA,NA,-1,173.405,199.034,188.578,11:36,125.3,313.878,5.47820455,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_36_for_1min.avi,yes,11:36,,2,2,4,8,1245,1304.167,1286.896,23.817,316,401.5,358.521,29.265,1.635,1.902,1.752,0.123,71,100,84,8.701,38.733,53.285,45.568,6.687,0,53.285,22.784,24.748,NA,NA,NA,NA,38.733,53.285,45.568,6.687,21.778,32.591,26.172,4.834,78.835,95.925,89.466,7.585,NA,NA,NA,NA,-1,169.835,186.925,180.466,11:36,125.3,305.766,5.336623441,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_36_for_1min.avi,yes,11:36,,3,3,4,8,814.5,858.5,838.667,18.533,537.5,646.833,587.75,37.18,1.869,2.336,2.194,0.219,77,110,92,10.941,46.019,55.398,50.523,4.865,0,55.398,25.262,27.193,NA,NA,NA,NA,46.019,55.398,50.523,4.865,19.988,24.978,23.126,2.231,87.241,91.66,89.753,1.94,NA,NA,NA,NA,-1,178.241,182.66,180.753,11:36,125.3,306.053,5.341632536,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_41_for_1min.avi,yes,11:41,,1,1,4,8,841.833,872.5,858.083,13.769,356.833,418.833,384.25,25.589,1.869,2.002,1.927,0.069,89,106,97.625,5.125,34.979,62,47.298,12.414,0,62,23.649,26.556,NA,NA,NA,NA,34.979,62,47.298,12.414,18.72,31.494,24.419,5.71,90,113.009,97.912,10.626,NA,NA,NA,NA,-1,181,204.009,188.912,11:41,126.9,315.812,5.511959217,1,,,,,,,,,
